phase,condition,kind,metric,value,numerator,denominator,wilson_low,wilson_high
main,verified,answerable,evidence_valid,1.0,30.0,30,0.8864866068260312,0.9999999999999999
main,verified,answerable,tool_selection_policy_met,1.0,30.0,30,0.8864866068260312,0.9999999999999999
main,verified,answerable,operational_failure,0.0,0.0,30,0.0,0.11351339317396876
main,verified,answerable,mean_accuracy,1.0,,30,,
main,verified,answerable,mean_completeness,1.0,,30,,
main,verified,answerable,mean_latency_s,6.082828020832191,,30,,
main,verified,answerable,mean_cost_usd,0.001967466666666667,,30,,
main,verified,answerable,mean_input_tokens,4913.6,,30,,
main,verified,answerable,mean_output_tokens,335.6666666666667,,30,,
main,verified,answerable,median_latency_s,5.834181771031581,,30,,
main,verified,answerable,p95_latency_s,7.901161782999407,,30,,
recovery,baseline,answerable,task_success,1.0,6.0,6,0.6096657120978346,1.0
recovery,baseline,answerable,false_refusal,0.0,0.0,6,2.7755575615628914e-17,0.3903342879021653
recovery,baseline,answerable,factual_error,0.0,0.0,6,2.7755575615628914e-17,0.3903342879021653
recovery,baseline,answerable,chart_returned,1.0,3.0,3,0.4385029682449546,1.0
recovery,baseline,answerable,chart_correct,1.0,3.0,3,0.4385029682449546,1.0
recovery,baseline,answerable,evidence_valid,1.0,6.0,6,0.6096657120978346,1.0
recovery,baseline,answerable,tool_selection_policy_met,1.0,6.0,6,0.6096657120978346,1.0
recovery,baseline,answerable,recovered_after_injection,1.0,6.0,6,0.6096657120978346,1.0
recovery,baseline,answerable,operational_failure,0.0,0.0,6,2.7755575615628914e-17,0.3903342879021653
recovery,baseline,answerable,mean_accuracy,1.0,,6,,
recovery,baseline,answerable,mean_completeness,1.0,,6,,
recovery,baseline,answerable,mean_latency_s,12.443426638657305,,6,,
recovery,baseline,answerable,mean_cost_usd,0.002104466666666667,,6,,
recovery,baseline,answerable,mean_input_tokens,4289.833333333333,,6,,
recovery,baseline,answerable,mean_output_tokens,402.8333333333333,,6,,
recovery,baseline,answerable,median_latency_s,12.725169374491088,,6,,
recovery,baseline,answerable,p95_latency_s,14.934152531262953,,6,,
recovery,prompt,answerable,task_success,1.0,6.0,6,0.6096657120978346,1.0
recovery,prompt,answerable,false_refusal,0.0,0.0,6,2.7755575615628914e-17,0.3903342879021653
recovery,prompt,answerable,factual_error,0.0,0.0,6,2.7755575615628914e-17,0.3903342879021653
